,rat,position,r2,mae,sigma^2
0,Kicker,Forward,0.669781690053123,0.5507247882062322,0.5127268040372898
1,Kicker,Midfielder,0.47020907951072777,0.5583371733160051,0.495639498839841
2,Kicker,Defender,0.37908995268531637,0.554063286127785,0.4934242722070406
3,Kicker,Goalkeeper,0.2857005669091716,0.5389833255805171,0.6221606113688128
4,WhoScored,Forward,0.7884443819494092,0.3340755684825595,0.19671279382344728
5,WhoScored,Midfielder,0.682186265215872,0.32312117955935044,0.18022333517891503
6,WhoScored,Defender,0.6055375747202081,0.3197338640419904,0.18060114673309388
7,WhoScored,Goalkeeper,0.6887650190197456,0.3540928202308256,0.24526912555273603
8,SkySports,Forward,0.5558665967674659,0.673144553615964,0.7542791065408952
9,SkySports,Midfielder,0.4547962013172305,0.6224986147960865,0.638623563380822
10,SkySports,Defender,0.37537258005040236,0.6019548762763766,0.6109319640509813
11,SkySports,Goalkeeper,0.3411810051721555,0.6668068386165664,0.7705246283900357
12,Bild,Forward,0.5856857335937988,0.674624021001344,0.8611068687703604
13,Bild,Midfielder,0.46361839384911924,0.6459213523979724,0.7016273244238531
14,Bild,Defender,0.40366786381538433,0.6796050383548542,0.783762148831351
15,Bild,Goalkeeper,0.3303567732064113,0.6425891316678942,0.9019229717284996
16,SofaScore,Forward,0.6271955157171233,0.36964008123219555,0.3900286741741641
17,SofaScore,Midfielder,0.493818138500612,0.3505242997277893,0.25754378224774405
18,SofaScore,Defender,0.4965599672963483,0.3268605200055755,0.20257816548748775
19,SofaScore,Goalkeeper,0.6429003552740997,0.3872133321448061,0.5383318841411311
20,The Guardian,Forward,0.2644170795328277,1.0424674136760852,-4.87987668537293
21,The Guardian,Midfielder,0.2753823389841629,0.8288659704007786,1.8347920874950339
22,The Guardian,Defender,0.3028960567310408,0.7878417558842624,1.9359330265144228
23,The Guardian,Goalkeeper,0.005500658424514685,0.9647225052904111,-1.74025435331139
